business_id,name,city,state,latitude,longitude,business_stars,review_count,categories,checkins,review_id,user_id,reviewer_stars,useful,funny,cool
BjH8Xepc10i6OhCDQdX6og,Emeril's New Orleans Fish House,Las Vegas,NV,36.102795,-115.168508,3.5,943,Seafood;American (New);Restaurants,13.0,DcYg8LW3RgeYZzLmWR0DHw,4aOrhJSAJXFjLWGFZszfbQ,2.0,1.0,0.0,0
BCAw9a_kyx2RddRH9tMmKQ,Mr. Lucky's 24-7,Las Vegas,NV,36.1091,-115.154526,3.5,802,Restaurants;American (Traditional);Diners,7.0,3suTT5BSXAeyM3allOw0ew,iB3iW2re2A4LQEFcpXExFw,3.0,0.0,0.0,0
H8qpFitIesth86zqR4cwYg,Jean Philippe Patisserie,Las Vegas,NV,36.107727,-115.176986,4.0,1301,Specialty Food;Chocolatiers & Shops;Food;Desserts;Restaurants;Bakeries,62.0,c2zN1d9eoNyV3AQshF7lsQ,GmQPriJGVlaHfpycaT7SWg,3.0,1.0,0.0,0
K7lWdNUhCbcnEvI0NhGewg,Wicked Spoon,Las Vegas,NV,36.109538,-115.17617,3.5,5950,Buffets;Breakfast & Brunch;Restaurants,673.0,OMp-wasWFsrOo6MYX2zw6Q,IpvS0pJxjC6mNiK1MBSb4w,1.0,0.0,0.0,0
4mYPOzBokDgz307TW2EIKw,Crafted Buffet,Las Vegas,NV,36.147248,-115.156032,2.5,159,Restaurants;Buffets,1.0,w8PNyoNeQESah_TReX-VXA,n9u_qpHgeHwarYbuux8B-w,3.0,2.0,1.0,2
YRyYbOSwvHkZsZOLv98oQg,Estiatorio Milos,Las Vegas,NV,36.10939219,-115.173773,4.0,932,Restaurants;Seafood;Greek,1.0,ljta2WTq8dgjb2VsQJTMCA,nhGWXZALOpIhc7QsAy-ONA,5.0,0.0,0.0,0
jrE4M9HlYp2AZZ7iQCSIRw,Harbor Palace Seafood Restaurant,Las Vegas,NV,36.1258564,-115.1970731,2.5,420,Chinese;Cantonese;Seafood;Dim Sum;Restaurants,4.0,NqGKH8owiRzcSt5aMOpOtQ,xWCDD4AVIVjDfLZp5Qc5yQ,2.0,0.0,1.0,0
OETh78qcgDltvHULowwhJg,Gordon Ramsay Steak,Las Vegas,NV,36.11233777,-115.1716961,4.0,2935,Salad;Restaurants;Soup;American (New);Steakhouses,28.0,DiYejws9ZWcP-qBo1zDRoQ,ibZjX7O7RBsVdDKjJJLR4Q,5.0,1.0,0.0,0
4JNXUYY8wbaaDmk3BPzlWw,Mon Ami Gabi,Las Vegas,NV,36.11282706,-115.1725815,4.0,7361,French;Steakhouses;Restaurants;Breakfast & Brunch,25.0,7EdI4uXznCCv33XCoVMC0Q,qFL6GmxRcWBjZ8kQS4xtag,3.0,0.0,0.0,1
a192hdM0_UVCYLwPJv1Qwg,Casa Don Juan  - Downtown,Las Vegas,NV,36.157156,-115.1538305,4.0,759,Seafood;Restaurants;Mexican,8.0,a6ZD-UuzMO2mZyQ-rhfaxQ,ZbB5WjfQ3G8lGOlSLmMMng,5.0,0.0,0.0,0
